R_squared,P_values,Betas
-2.220446049250313e-16,[6.71551533e-122],[1350.2444446]
-2.220446049250313e-16,[1.25057018e-100],[1480.36014572]
0.0,[1.97651845e-113],[1457.01372214]
0.0,[2.24341754e-117],[1375.6172976]
0.0,[7.55233143e-106],[1579.24962421]
-2.220446049250313e-16,[1.72991744e-102],[1569.0382487]
-2.220446049250313e-16,[3.23863778e-99],[1577.73536114]
-2.220446049250313e-16,[2.24145827e-104],[1553.20176787]
0.0,[1.0078432e-113],[1415.00513174]
0.0,[6.17098216e-110],[1302.31252633]
0.0,[1.34409853e-115],[1309.63152238]
2.220446049250313e-16,[1.55057843e-111],[1330.08183259]
2.220446049250313e-16,[1.21326324e-107],[1330.75099092]
1.1102230246251565e-16,[4.62272325e-111],[1294.9183589]
0.0,[5.45898084e-113],[1236.28479722]
0.0,[1.00619505e-113],[1260.21443924]
0.0,[9.94258402e-108],[1433.3945145]
-2.220446049250313e-16,[2.57950508e-114],[1465.11464557]
-2.220446049250313e-16,[9.87120937e-108],[1554.27227903]
0.0,[8.21148064e-97],[1558.08356311]
0.0,[1.2693459e-97],[1542.56409409]
-2.220446049250313e-16,[2.78835956e-104],[1522.39956246]
-2.220446049250313e-16,[1.67001674e-112],[1434.37756587]
0.0,[5.58385627e-110],[1313.20088944]
0.0,[8.39030079e-117],[1275.69885733]
-2.220446049250313e-16,[5.01685004e-112],[1243.28458898]
4.440892098500626e-16,[1.66274868e-114],[1220.69176049]
0.0,[6.09098639e-113],[1223.05530025]
1.1102230246251565e-16,[2.6679383e-112],[1300.05036717]
-4.440892098500626e-16,[1.39342473e-105],[1444.73774749]
2.220446049250313e-16,[1.08303989e-107],[1499.7608858]
-2.220446049250313e-16,[3.07476565e-110],[1506.06102558]
-2.220446049250313e-16,[5.73984938e-111],[1521.53879682]
1.1102230246251565e-16,[1.16863603e-99],[1519.57671521]
0.0,[3.9913167e-109],[1501.99071548]
0.0,[4.61492678e-112],[1197.17047478]
0.0,[2.46680543e-116],[1177.97236185]
0.0,[1.37746246e-111],[1499.88621371]
0.0,[1.61054437e-121],[1198.60997578]
0.0,[1.09756506e-112],[1160.95419012]
0.0,[3.20698108e-113],[1140.1919783]
0.0,[8.48442316e-105],[1262.27534275]
0.0,[6.75036324e-103],[1143.1454384]
-2.220446049250313e-16,[2.99802978e-100],[1309.35017186]
-2.220446049250313e-16,[6.29479543e-110],[1789.40691301]
1.1102230246251565e-16,[2.7935471e-110],[1627.21660539]
2.220446049250313e-16,[3.56970744e-115],[1772.72350835]
1.1102230246251565e-16,[1.50323546e-109],[1749.67899098]
-2.220446049250313e-16,[1.41376531e-104],[1549.33408251]
1.1102230246251565e-16,[1.6276868e-106],[1471.17487649]
0.0,[2.86703875e-102],[1674.4143569]
-2.220446049250313e-16,[1.48627492e-104],[1655.12989717]
4.440892098500626e-16,[1.68019169e-103],[1472.14038325]
3.3306690738754696e-16,[2.05031344e-106],[1383.92330155]
3.3306690738754696e-16,[2.69600241e-94],[1517.23255113]
-2.220446049250313e-16,[1.12011535e-97],[1478.46265845]
0.0,[4.3154891e-102],[1380.719492]
-2.220446049250313e-16,[9.98710755e-106],[1286.17982393]
1.1102230246251565e-16,[6.01875763e-102],[1600.82200712]
2.220446049250313e-16,[3.83182245e-116],[1328.09877403]
0.0,[6.20294009e-113],[1289.66548905]
1.1102230246251565e-16,[3.37216431e-103],[1283.55951287]
0.0,[8.82766499e-114],[1325.78301164]
-2.220446049250313e-16,[6.91570021e-111],[1314.9523088]
-2.220446049250313e-16,[1.30001422e-111],[1233.21717266]
3.3306690738754696e-16,[8.57120607e-107],[1392.38805674]
0.0,[9.35945313e-98],[1535.38494514]
-2.220446049250313e-16,[2.14768684e-102],[1585.11796301]
1.1102230246251565e-16,[1.11058128e-109],[1528.12799192]
0.0,[7.10179168e-109],[1534.34253887]
0.0,[5.67967259e-111],[1541.18984088]
-2.220446049250313e-16,[9.46683851e-115],[1469.69167433]
0.0,[2.37567908e-105],[1391.94080069]
0.0,[6.70859645e-114],[1320.13200348]
0.0,[2.06749312e-111],[1239.70816579]
0.0,[6.46578279e-113],[1242.67816282]
-2.220446049250313e-16,[7.48627425e-117],[1280.23060997]
2.220446049250313e-16,[1.01493205e-113],[1256.02965351]
1.1102230246251565e-16,[1.49721861e-103],[1253.29888796]
1.1102230246251565e-16,[4.82559927e-110],[1301.96132525]
-2.220446049250313e-16,[4.76282671e-104],[1395.8093525]
0.0,[2.5917651e-110],[1581.11373842]
1.1102230246251565e-16,[7.55924433e-115],[1602.78168802]
2.220446049250313e-16,[3.29311183e-106],[1525.74676394]
0.0,[1.23643715e-106],[1515.03398102]
0.0,[1.3074451e-110],[1526.70284017]
-2.220446049250313e-16,[1.09794884e-116],[1500.81081495]
0.0,[8.59494156e-112],[1425.7670707]
-2.220446049250313e-16,[4.1087716e-111],[1347.78748037]
0.0,[4.38001329e-105],[1261.87732173]
1.1102230246251565e-16,[2.21672933e-116],[1231.51052916]
0.0,[9.41852301e-112],[1219.36147413]
0.0,[9.83761168e-108],[1189.84364468]
-2.220446049250313e-16,[6.5151522e-105],[1331.41498162]
-2.220446049250313e-16,[1.16352719e-104],[1361.15593884]
0.0,[1.17866907e-110],[1373.41043629]
2.220446049250313e-16,[1.13538216e-116],[1437.41122137]
2.220446049250313e-16,[3.69493982e-99],[1583.72365675]
1.1102230246251565e-16,[3.55728604e-102],[1536.12156528]
0.0,[8.15078253e-112],[1499.11454264]
0.0,[2.29309551e-112],[1487.4594918]
0.0,[9.41452079e-114],[1423.44567153]
2.220446049250313e-16,[4.6246473e-117],[1337.51835842]
0.0,[8.62981539e-115],[1168.3555597]
-2.220446049250313e-16,[7.62151431e-111],[1159.35069604]
1.1102230246251565e-16,[2.01193991e-110],[1115.11149807]
0.0,[1.66480014e-113],[1150.61328604]
0.0,[8.7294875e-104],[1254.05286841]
-2.220446049250313e-16,[4.90783049e-102],[1352.19557818]
0.0,[3.65792278e-102],[1426.48728315]
-2.220446049250313e-16,[5.9810582e-114],[1447.01028263]
0.0,[3.41982582e-97],[1494.62618959]
0.0,[1.69346104e-103],[1548.58342907]
0.0,[3.98098324e-109],[1308.69396015]
1.1102230246251565e-16,[2.58210243e-116],[1123.48056449]
2.220446049250313e-16,[6.13213573e-114],[1106.9038804]
2.220446049250313e-16,[1.06387978e-107],[1073.54485725]
-2.220446049250313e-16,[1.9337217e-100],[1358.82155235]
0.0,[2.37199448e-106],[1482.9025831]
-2.220446049250313e-16,[2.59589396e-112],[1402.02590524]
2.220446049250313e-16,[6.79196038e-109],[1374.54562079]
0.0,[1.25836946e-104],[1255.05070944]
1.1102230246251565e-16,[4.74575686e-117],[1137.97679946]
0.0,[1.89707534e-114],[1092.57180128]
-2.220446049250313e-16,[7.15053527e-105],[1103.22733082]
0.0,[2.9088251e-103],[1180.48734777]
-2.220446049250313e-16,[3.20549274e-106],[1498.05521886]
0.0,[3.29733147e-105],[1424.57095875]
0.0,[8.93887879e-110],[1325.37241259]
0.0,[4.67521205e-117],[1106.10201967]
2.220446049250313e-16,[6.35296129e-119],[1085.99287684]
-4.440892098500626e-16,[4.0176421e-106],[1141.75316186]
0.0,[1.24422916e-109],[1256.62679276]
0.0,[4.96292172e-111],[1050.88622808]
0.0,[1.93536968e-113],[1067.55597522]
1.1102230246251565e-16,[1.62673546e-101],[1172.15727204]
-2.220446049250313e-16,[3.4945882e-112],[1343.78720751]
-2.220446049250313e-16,[9.69537144e-110],[1093.35840801]
-2.220446049250313e-16,[4.54179963e-110],[1534.43320839]
-2.220446049250313e-16,[1.5315453e-108],[1407.69377824]
-2.220446049250313e-16,[5.54537993e-100],[1261.3033902]
0.0,[1.55825059e-108],[1061.10547114]
0.0,[3.16731818e-104],[1428.06628418]
2.220446049250313e-16,[1.92799549e-107],[1687.23445638]
0.0,[4.967042e-110],[1674.45034611]
-2.220446049250313e-16,[2.03579957e-107],[1721.60100481]
0.0,[2.77427673e-102],[1769.40748985]
1.1102230246251565e-16,[6.57035982e-105],[1738.45820169]
0.0,[2.12518542e-103],[1666.73216577]
-2.220446049250313e-16,[7.82493947e-105],[1529.83070523]
0.0,[8.50823579e-113],[1662.7984667]
-2.220446049250313e-16,[2.08964261e-111],[1607.15755926]
0.0,[2.61366173e-112],[1638.69269158]
-2.220446049250313e-16,[3.83235884e-111],[1706.93827551]
0.0,[1.06465745e-95],[1580.00251082]
-2.220446049250313e-16,[4.09981132e-110],[1552.35253906]
-2.220446049250313e-16,[4.13249498e-107],[1464.35120108]
0.0,[4.21213168e-112],[1432.01466998]
1.1102230246251565e-16,[5.24141386e-114],[1548.63316914]
0.0,[1.45628195e-99],[1333.75516525]
1.1102230246251565e-16,[8.04955463e-98],[1424.44326124]
0.0,[3.67591651e-105],[1486.10601926]
-2.220446049250313e-16,[1.09669479e-110],[1388.05492925]
-2.220446049250313e-16,[1.74193299e-105],[1346.34651453]
1.1102230246251565e-16,[1.31400399e-106],[1448.06987448]
1.1102230246251565e-16,[4.05108625e-100],[1544.50793936]
2.220446049250313e-16,[1.18563329e-101],[1423.58751723]
0.0,[4.5752026e-108],[1255.76202991]
0.0,[6.45417681e-111],[1312.02022298]
1.1102230246251565e-16,[4.53729218e-104],[1358.19876637]
0.0,[8.06386639e-101],[1418.77598183]
0.0,[1.03447366e-99],[1540.26548857]
-2.220446049250313e-16,[1.39191135e-103],[1408.76460535]
0.0,[2.24088303e-106],[1362.94433594]
2.220446049250313e-16,[3.96279406e-108],[1322.9955552]
0.0,[8.90494232e-110],[1348.28960823]
1.1102230246251565e-16,[9.95826192e-99],[1407.40974456]
2.220446049250313e-16,[6.06084471e-100],[1338.59170353]
2.220446049250313e-16,[2.23038033e-104],[1414.92225079]
-2.220446049250313e-16,[6.33319257e-100],[1506.31572649]
-2.220446049250313e-16,[6.16745173e-104],[1587.95073865]
2.220446049250313e-16,[3.79393846e-110],[1526.41778445]
1.1102230246251565e-16,[1.33883414e-112],[1479.16418218]
0.0,[8.07380724e-109],[1417.70479329]
0.0,[1.04579781e-113],[1340.80407954]
2.220446049250313e-16,[7.60881967e-108],[1262.23276176]
0.0,[9.14542679e-114],[1245.26375326]
0.0,[2.80270542e-114],[1277.40490005]
-4.440892098500626e-16,[9.61663979e-107],[1285.37019139]
0.0,[2.03302575e-105],[1248.44762705]
-2.220446049250313e-16,[5.67316897e-112],[1205.54031193]
-6.661338147750939e-16,[1.02638176e-108],[1324.61555032]
2.220446049250313e-16,[3.96810707e-95],[1465.78956036]
-2.220446049250313e-16,[2.13930334e-96],[1525.39263318]
1.1102230246251565e-16,[8.65420286e-102],[1524.45532945]
2.220446049250313e-16,[3.85543643e-103],[1473.18073108]
0.0,[2.06753206e-104],[1471.1041547]
0.0,[1.97668884e-103],[1475.35444432]
0.0,[1.22888971e-111],[1491.46358714]
1.1102230246251565e-16,[4.658196e-107],[1485.70657408]
0.0,[4.7025791e-109],[1394.50143851]
-2.220446049250313e-16,[3.87311194e-110],[1274.06019024]
-2.220446049250313e-16,[1.43475784e-113],[1201.94633933]
0.0,[5.27971017e-108],[1204.14828431]
2.220446049250313e-16,[9.02771281e-114],[1209.31403426]
-2.220446049250313e-16,[5.28570933e-108],[1173.61387724]
2.220446049250313e-16,[8.18397462e-113],[1138.88582835]
0.0,[7.94014145e-110],[1152.43378523]
0.0,[6.03651489e-110],[1173.77042404]
0.0,[2.72129887e-107],[1215.9349461]
0.0,[1.49290058e-96],[1306.34337661]
1.1102230246251565e-16,[1.84016158e-99],[1375.5285453]
0.0,[4.49859901e-112],[1648.13059369]
0.0,[3.97517194e-117],[1502.24793199]
1.1102230246251565e-16,[8.44274768e-109],[1447.94657629]
0.0,[1.60194273e-104],[1463.70754107]
-2.220446049250313e-16,[2.03510367e-105],[1461.68741862]
2.220446049250313e-16,[1.25339036e-112],[1496.12509813]
0.0,[2.89307242e-108],[1525.43670295]
0.0,[2.52140682e-110],[1438.06821816]
0.0,[5.87527069e-100],[1305.01183125]
-2.220446049250313e-16,[1.7269714e-110],[1148.52213781]
1.1102230246251565e-16,[3.71996738e-116],[1151.77782246]
2.220446049250313e-16,[2.61046318e-104],[1125.74085669]
-2.220446049250313e-16,[9.73018643e-109],[1089.61585909]
0.0,[4.46401997e-103],[1105.86211799]
-2.220446049250313e-16,[8.63066862e-105],[1202.31093702]
1.1102230246251565e-16,[5.09559489e-104],[1238.06937423]
2.220446049250313e-16,[5.19141129e-62],[869.64452527]
0.0,[2.36671804e-66],[1326.02319097]
0.0,[1.00832924e-76],[1550.75186456]
-2.220446049250313e-16,[1.20898348e-104],[1527.43066885]
0.0,[2.53272389e-107],[1471.08893181]
-2.220446049250313e-16,[1.39289084e-106],[1454.59681373]
2.220446049250313e-16,[8.58667924e-104],[1419.84528186]
0.0,[8.1996741e-108],[1429.8331251]
0.0,[6.22950958e-109],[1498.10388902]
0.0,[8.11923379e-111],[1423.52413402]
-2.220446049250313e-16,[3.11129445e-102],[1274.08066215]
0.0,[1.52248481e-103],[1175.34318752]
0.0,[1.32984272e-115],[1125.69450109]
0.0,[4.47478356e-111],[1099.87071557]
3.3306690738754696e-16,[6.99278617e-109],[1047.99083994]
4.440892098500626e-16,[5.90306881e-112],[1059.95466644]
0.0,[8.97978735e-105],[1159.58695954]
2.220446049250313e-16,[1.25611455e-105],[1223.41131472]
-2.220446049250313e-16,[1.98899104e-104],[1248.29075952]
-2.220446049250313e-16,[3.32583963e-113],[1353.2803261]
-2.220446049250313e-16,[5.85486107e-66],[1360.76677629]
-2.220446049250313e-16,[1.89407518e-90],[1490.46882181]
1.1102230246251565e-16,[3.37218988e-101],[1474.9764524]
2.220446049250313e-16,[2.01927971e-111],[1429.99046655]
-2.220446049250313e-16,[1.62365776e-106],[1382.41389735]
-2.220446049250313e-16,[1.71104184e-106],[1442.59313247]
-2.220446049250313e-16,[4.36396837e-104],[1381.4839681]
-2.220446049250313e-16,[1.05261443e-117],[1115.20904182]
0.0,[4.44995532e-115],[1075.88343243]
-2.220446049250313e-16,[3.58486939e-113],[1025.49247233]
2.220446049250313e-16,[1.95654533e-104],[1058.3409735]
0.0,[6.8945859e-108],[1203.65909591]
0.0,[6.37290461e-109],[1265.15759995]
1.1102230246251565e-16,[6.81915608e-113],[1268.50375306]
2.220446049250313e-16,[1.09737647e-71],[1388.43265788]
0.0,[1.0158963e-89],[1396.22191186]
0.0,[1.21971514e-96],[1375.07277305]
1.1102230246251565e-16,[1.3908328e-105],[1374.60934867]
-2.220446049250313e-16,[7.74931784e-113],[1387.27642224]
1.1102230246251565e-16,[9.8845557e-112],[1397.23051183]
0.0,[3.17812934e-102],[1403.04617609]
3.3306690738754696e-16,[2.05687437e-95],[1321.14690803]
0.0,[2.05880851e-97],[1178.24352788]
3.3306690738754696e-16,[4.73055222e-112],[1109.469121]
0.0,[1.55647653e-113],[1083.01423436]
2.220446049250313e-16,[2.08302917e-104],[1064.38253724]
1.1102230246251565e-16,[1.49290841e-102],[1120.52324362]
-2.220446049250313e-16,[1.12054808e-108],[1208.04156374]
-2.220446049250313e-16,[2.12190028e-110],[1231.10395364]
0.0,[8.43786957e-103],[1480.12380802]
-2.220446049250313e-16,[6.6733819e-106],[1376.71448711]
0.0,[1.18189177e-110],[1353.66934982]
0.0,[6.44750911e-117],[1377.99322869]
0.0,[4.47509104e-110],[1378.17625756]
-2.220446049250313e-16,[3.13645653e-97],[1233.65211876]
1.1102230246251565e-16,[1.974307e-108],[1129.69946289]
0.0,[2.33414921e-114],[1098.34242398]
-2.220446049250313e-16,[1.01274637e-121],[1092.79455327]
2.220446049250313e-16,[2.85983306e-112],[1096.95672248]
0.0,[2.4411258e-113],[1246.00800877]
0.0,[9.66486918e-112],[1223.98036583]
1.1102230246251565e-16,[2.84620365e-101],[1581.31070964]
2.220446049250313e-16,[2.81453322e-105],[1513.31619801]
0.0,[1.63781987e-103],[1395.00786516]
1.1102230246251565e-16,[7.22599107e-113],[1355.19514256]
2.220446049250313e-16,[5.80513005e-118],[1352.78401214]
0.0,[2.26219689e-106],[1327.80586991]
0.0,[6.10821497e-99],[1248.75286027]
2.220446049250313e-16,[1.57340009e-111],[1082.26270967]
0.0,[3.17997972e-114],[1075.17265529]
0.0,[1.04213099e-118],[1079.51877729]
1.1102230246251565e-16,[5.32091218e-109],[1111.61634019]
1.1102230246251565e-16,[1.39585647e-112],[1214.27332979]
-2.220446049250313e-16,[2.42839692e-105],[1488.08011882]
0.0,[9.85058034e-100],[1388.48886049]
2.220446049250313e-16,[2.15803955e-110],[1369.55300006]
1.1102230246251565e-16,[4.57164361e-111],[1330.87975835]
1.1102230246251565e-16,[4.01102994e-109],[1262.52560126]
-2.220446049250313e-16,[1.00785916e-111],[1162.15759038]
0.0,[1.81071337e-108],[1058.58564549]
2.220446049250313e-16,[4.31899306e-106],[1104.36096191]
0.0,[7.93989822e-108],[1515.15166638]
3.3306690738754696e-16,[2.96578069e-108],[1372.5621314]
0.0,[1.19427531e-102],[1268.78175743]
2.220446049250313e-16,[1.60824534e-113],[1134.22514074]
0.0,[4.93923983e-115],[1030.33840763]
2.220446049250313e-16,[1.09433827e-89],[1664.09279259]
0.0,[4.75336473e-104],[1567.04919912]
4.440892098500626e-16,[1.9383627e-111],[1486.08222513]
-2.220446049250313e-16,[1.85133345e-100],[1303.33772547]
0.0,[9.59637927e-115],[1042.48254634]
1.1102230246251565e-16,[1.46963204e-112],[1011.88172943]
-2.220446049250313e-16,[1.72529717e-86],[1557.31378772]
-2.220446049250313e-16,[4.01132455e-106],[1555.50535195]
-2.220446049250313e-16,[3.0494744e-107],[1490.7906901]
0.0,[8.31427424e-101],[1410.84532973]
-2.220446049250313e-16,[2.76127997e-109],[1053.71910903]
-2.220446049250313e-16,[8.20267291e-85],[1442.53444298]
-2.220446049250313e-16,[2.2369702e-93],[1557.03655886]
1.1102230246251565e-16,[1.91907624e-98],[1536.63174259]
-2.220446049250313e-16,[1.617278e-100],[1454.58530082]
-2.220446049250313e-16,[5.59460329e-95],[1481.67009182]
2.220446049250313e-16,[3.48012608e-94],[1409.21234251]
2.220446049250313e-16,[6.40258514e-81],[1013.81345502]
-2.220446049250313e-16,[1.24732006e-81],[1161.99280025]
0.0,[4.99654523e-92],[1321.42611874]
0.0,[1.07974377e-101],[1314.09835038]
1.1102230246251565e-16,[7.73923611e-81],[916.64994064]
2.220446049250313e-16,[2.09477591e-81],[1040.57063204]
3.3306690738754696e-16,[1.41717083e-98],[1263.37842036]
-2.220446049250313e-16,[1.38158894e-87],[916.6643581]
-2.220446049250313e-16,[3.75078232e-89],[995.50515807]
0.0,[1.16164088e-103],[1687.86839145]
0.0,[1.38869415e-102],[1659.71624876]
0.0,[8.5947486e-106],[1695.46882659]
0.0,[1.86134815e-103],[1610.84886977]
-2.220446049250313e-16,[4.21264121e-110],[1635.97108848]
0.0,[4.71494396e-108],[1712.35949228]
2.220446049250313e-16,[6.82803029e-102],[1689.53245874]
3.3306690738754696e-16,[1.59450649e-105],[1638.01234586]
-2.220446049250313e-16,[9.3231317e-107],[1597.72864966]
2.220446049250313e-16,[1.55631184e-105],[1615.78900984]
-2.220446049250313e-16,[1.47258442e-109],[1629.51416973]
0.0,[6.92842845e-117],[1619.83970014]
0.0,[1.30087147e-111],[1575.4100653]
2.220446049250313e-16,[3.86543169e-104],[1530.24722589]
0.0,[2.12608968e-106],[1526.44649969]
0.0,[5.83012474e-115],[1534.5404316]
0.0,[1.39775272e-102],[1544.67988616]
0.0,[1.93294515e-114],[1611.79560882]
-2.220446049250313e-16,[2.4075513e-109],[1602.33140654]
0.0,[9.79288662e-110],[1563.54384718]
-2.220446049250313e-16,[4.7052958e-108],[1490.81205241]
1.1102230246251565e-16,[1.30538967e-104],[1382.19765577]
-2.220446049250313e-16,[4.74364893e-101],[1557.51154881]
0.0,[9.42098255e-110],[1277.85566981]
-2.220446049250313e-16,[2.23061432e-113],[1401.01947859]
0.0,[1.28694485e-104],[1425.9883363]
0.0,[8.64364026e-114],[1550.88275506]
-2.220446049250313e-16,[1.32761368e-105],[1509.30559944]
0.0,[3.11060033e-103],[1473.13603899]
0.0,[7.6077814e-103],[1440.99195054]
0.0,[5.79644649e-105],[1340.66966577]
1.1102230246251565e-16,[5.75907285e-106],[1271.1422167]
-4.440892098500626e-16,[6.46809535e-96],[1421.51570877]
2.220446049250313e-16,[6.93423119e-95],[1385.92381376]
0.0,[3.65125735e-101],[1225.54878743]
2.220446049250313e-16,[1.15502944e-105],[1181.77564434]
-2.220446049250313e-16,[1.02914516e-117],[1243.60834817]
-2.220446049250313e-16,[2.42511155e-107],[1376.37232642]
0.0,[1.31074271e-101],[1469.58365407]
0.0,[1.04135178e-112],[1549.46003274]
2.220446049250313e-16,[3.94074616e-113],[1559.6870189]
1.1102230246251565e-16,[9.33166529e-115],[1541.10680674]
-2.220446049250313e-16,[9.7912743e-113],[1481.12946155]
-2.220446049250313e-16,[1.81284235e-107],[1423.28022317]
1.1102230246251565e-16,[3.80029091e-107],[1390.16210219]
-2.220446049250313e-16,[1.1134651e-103],[1372.46077713]
-2.220446049250313e-16,[4.11442639e-105],[1342.22236903]
0.0,[4.02767741e-113],[1247.93903186]
0.0,[1.16913811e-96],[1243.58325913]
-2.220446049250313e-16,[7.98911459e-96],[1278.1976079]
0.0,[8.6972592e-106],[1194.57726572]
0.0,[1.22524515e-104],[1111.43565937]
