Caractéristique,Rank
ROI_4_max,19.8
ROI_35_max,31.4
ROI_15_min,32.4
ROI_14_max,32.6
ROI_25_max,35.0
ROI_38_min,41.0
ROI_13_min,42.0
ROI_23_min,44.2
ROI_16_max,44.4
ROI_45_max,44.8
ROI_36_min,46.2
ROI_41_max,46.8
ROI_8_max,48.2
ROI_4_mean,48.2
ROI_9_min,49.4
ROI_2_mean,49.4
ROI_23_max,50.6
ROI_10_max,51.0
ROI_0_min,51.0
ROI_2_min,52.0
ROI_44_min,54.0
ROI_36_mean,56.0
ROI_37_min,56.0
ROI_29_max,56.0
ROI_3_mean,56.2
ROI_46_mean,56.6
ROI_26_mean,57.0
ROI_42_mean,57.0
ROI_39_min,57.0
ROI_1_min,57.6
ROI_34_min,57.8
ROI_39_max,58.4
ROI_31_mean,59.0
ROI_40_max,59.4
ROI_34_max,59.4
ROI_39_mean,59.6
ROI_31_min,60.0
ROI_40_min,60.2
ROI_43_mean,61.2
ROI_23_mean,61.2
ROI_22_mean,62.8
ROI_44_max,63.2
ROI_11_min,63.6
ROI_24_min,63.8
ROI_9_max,63.8
ROI_10_min,64.4
ROI_10_mean,64.8
ROI_7_max,65.0
ROI_36_max,65.6
ROI_29_min,66.0
ROI_11_max,66.0
ROI_25_min,66.4
ROI_32_max,66.4
ROI_28_max,66.6
ROI_22_max,66.8
ROI_26_min,67.0
ROI_2_max,67.0
ROI_46_max,67.8
ROI_20_mean,67.8
ROI_46_min,68.0
ROI_38_max,68.0
ROI_5_mean,68.2
ROI_30_min,68.2
ROI_5_min,69.2
ROI_29_mean,69.4
ROI_0_max,69.6
ROI_3_min,69.8
ROI_16_mean,70.6
ROI_17_min,70.8
ROI_28_min,71.0
ROI_31_max,71.2
ROI_6_max,72.6
ROI_33_mean,73.0
ROI_20_min,73.2
ROI_40_mean,73.6
ROI_43_min,74.0
ROI_43_max,74.0
ROI_5_max,74.4
ROI_41_min,74.4
ROI_42_min,74.8
ROI_1_max,75.0
ROI_33_min,75.2
ROI_25_mean,75.2
ROI_33_max,75.4
ROI_14_mean,75.6
ROI_18_mean,75.6
ROI_9_mean,75.6
ROI_6_mean,76.0
ROI_24_mean,76.0
ROI_44_mean,76.0
ROI_13_mean,76.0
ROI_4_min,76.4
ROI_17_mean,76.6
ROI_18_max,78.0
ROI_18_min,78.0
ROI_15_mean,78.2
ROI_42_max,78.4
ROI_35_mean,78.8
ROI_12_max,79.0
ROI_34_mean,80.4
ROI_11_mean,80.4
ROI_8_min,81.0
ROI_22_min,81.0
ROI_17_max,81.6
ROI_16_min,82.2
ROI_6_min,82.8
ROI_21_min,83.0
ROI_26_max,83.4
ROI_45_mean,83.6
ROI_19_max,83.6
ROI_41_mean,85.2
ROI_0_mean,86.0
ROI_20_max,86.0
ROI_12_mean,86.2
ROI_32_min,86.6
ROI_3_max,86.6
ROI_27_max,86.8
ROI_14_min,87.4
ROI_37_mean,87.8
ROI_15_max,87.8
ROI_7_mean,87.8
ROI_45_min,88.8
ROI_38_mean,89.8
ROI_35_min,90.4
ROI_37_max,90.8
ROI_27_min,91.0
ROI_13_max,91.8
ROI_8_mean,92.0
ROI_1_mean,92.0
ROI_19_min,92.2
ROI_32_mean,93.6
ROI_24_max,93.6
ROI_21_mean,94.0
ROI_28_mean,96.0
ROI_30_mean,96.6
ROI_7_min,98.4
ROI_30_max,101.4
ROI_12_min,108.6
ROI_19_mean,108.8
ROI_21_max,112.0
ROI_27_mean,114.2
